TABLEAU DE VIDANGE,,,IMMEUBLE YASSMINE TAWER BLOC B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARC MEDIBAT,,,N IDENTIF 0042847EAM000,,,,,,,,,,,,,,tablo de vidange PARC MEDIBAT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINS,,date,index,prochain,vidange M,DATE DERNIERE CONSULTATION,NBRE D HEURE,vidange HY,vidange BOI,F  H,F H 2,F GA,F GK,F GS,filtre a air,F S EAU,F B,F HY,F D,huile BOITE,huile HY,H 140,H ATF,H 90,HMD 40,CX 50,eau RADIAT,graisse,huile +filtre S,huile  T 316,vidange pont
,,,,VIDANGE,  MOTEUR,,,HYDROLIQU,BOITE,HUILE,HUILE,GASOIL,GASOIL,GASOIL,IN           EX,GASOIL,BOITE,HIDROLI,DECLO,BOITE,HYDROLIQU,140,,80w90,40 HMD,CX 50,RADIATEUR,ANTI + N,COMPRESSEUR,THERMIQUE,
PELLE,P5,12/17/2024,3608,3858,80L h40 R4,,,300L h 46 S PV 3190,,OK    ,,ok,,ok,OK        OK,,,,,,60 L h 46 N,,,,,,,37 KG N,,,
PELLE,P6,12/30/2024,2043,2293,40L h40 R4,,,280 L h46 S PV 3043,,,,,,OK,OK       OK,,,,,,,,,,,,,,,,
PELLE,P7,2/13/2025,1795,2045,80L h40 R4,,,,,OK,,,,,OK       OK,,,,,,5L h46 S,,,,,,5 L 4 S,17 KG,,,
PELLE,P8,3/20/2025,1256,1506,40L h40 R4,,,,,OK    ,,ok,,,OK       OK,,,,,,,,,,,,,,,,
PELLE,P9,10/22/2024,9833,10083,37L h40 R4,,,,,OK,,OK,,OK,OK       OK,,,,,,,,,,,,,,,,
PELLE,P10,12/4/2024,132628,132928,125L h 40 cat,,,240L 46 S PV  13535,,OK    ,,OK,,OK,OK       OK,,,OK,,,200L h46 N,,,,5L,,90L 4S,15 KG N,,,20L h 80w90
MINI CHARGEUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINI CHARGEUSE,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINI CHARGEUSE,B3,1/22/2025,5335,5585,10L h 40 R4,,,,,OK,,OK,OK,,OK        OK,,,,,,90L h46 N,,,,,,,,,,
MINI CHARGEUSE,B4,10/16/2024,,,10L h 40 R4,,,,,OK,,OK,,,OK    OK,,,,,,,,,,,,,,,,
