 N° Matériels,Désignation ,Marque,Type,"N° de serie 
du type","Carte grise /
 Plaque signalétique ",Propriétaire,GPS,"INDEX 
 (groupe whatsapp Gazoil)","Index Tableau Vidange
(31/07)",Etat NEBIL,OBS
CT5,Carrier Truck 6X4,MAN,TGS334006X4BBSWW,WMA26WZZ4HM553548,8504TU202,Tunisie Leasing,Oui,No Info,Oui,,à verifier 
CT6,Road Tractor (Truck Tractor),Renault ,VF630A134HD002391,,5688TU204,MEDIBAT,Oui,No Info,No Info,,à verifier 
GR1,Groupe Electrogene,,,,,MEDIBAT,,Pas d'afficheur,Oui,,à verifier 
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,Panne,,,,,,
,,,,,Assuré  Zitouna ,RQ: TT contrats Leasing Zitouna Automatiquement est assuré par Zitouna Sauf des 3 Backhoe Loaders ,,,,,
,,,,,Assuré Lloyd au cours de l'année,,,,,,
,,,,,Engins ferrailles il faut les retirer,,,,,,
,,,,,GAT ,,,,,,
,,,,,Vendu ,,,,,,
,,,,,,,,,,,
,,,,Contrat TRE,Engin ayant un Contrat TRE ,,,,,,
,,,,TRE,Garder ou pas TRE/Remplacer par Incendie,,,,,,
,,,,"faire RC  
soustraitance d'enrobé (cylindre,Compactor,finisseur, fraiseuse)",,AJOUT FLOTTE,,,,,
,,,,faire RC Matériel No info-roulant mais se déplacant entre les chantiers ,,AJOUT FLOTTE,,,,,
,,,,,,,,,,,
,,,,"NB :
Matériel avec CG : 
Backhoe Loader 
Tracteur
Chargeuse 
Niveleuse 
Camion",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,Police en violet ,,,,,,,
,,,,Police en bleu ,,,,,,,
,,,,Attestation agence LLOYD Avril 25,,,,,,,
,,,,Forte recommandation de retirer TRE ,,,,,,,
,,,,,,,,,,,
vérifier pour camions si on choisit entre TR et INCENDIE?,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,0, MAT avec GPS,,MAT avec tracabilite d'info ( GPS ou CAT),,,,,
,,,#REF!,MAT sans GPS,,MAT  Sans tracabilite d'info (ni GPC ni CAT),,,,,
